Time,Depth,Conductivity,Temperature
06/14/2023 06:12:24,-10.19,8.21,18.63
06/14/2023 06:12:25,-10.1,8.21,18.63
06/14/2023 06:12:26,-10.19,8.38,18.62
06/14/2023 06:12:27,-10.22,8.38,18.62
06/14/2023 06:12:28,-10.13,8.21,18.65
06/14/2023 06:12:29,-10.19,8.56,18.66
06/14/2023 06:12:30,-10.19,8.56,18.68
06/14/2023 06:12:31,-10.22,8.38,18.69
06/14/2023 06:12:32,-10.1,8.21,18.72
06/14/2023 06:12:33,-10.19,8.38,18.7
06/14/2023 06:12:34,-10.19,8.91,18.66
06/14/2023 06:12:35,-10.16,8.73,18.68
06/14/2023 06:12:36,-10.16,9.08,19.06
06/14/2023 06:12:37,-10.16,8.21,19.14
06/14/2023 06:12:38,-10.19,8.03,19.12
06/14/2023 06:12:39,-10.19,6.46,19.08
06/14/2023 06:12:40,-10.13,6.63,19.04
06/14/2023 06:12:41,-10.16,6.63,19.02
06/14/2023 06:12:42,-10.19,60.83,18.95
06/14/2023 06:12:43,-10.19,155.8,18.91
06/14/2023 06:12:44,-10.01,154.3,17.91
06/14/2023 06:12:45,-10.1,153.8,16.45
06/14/2023 06:12:46,-9.98,153.8,15.91
06/14/2023 06:12:47,-10.01,154.0,15.68
06/14/2023 06:12:48,-10.01,153.6,15.55
06/14/2023 06:12:49,-9.98,152.8,15.46
06/14/2023 06:12:50,-9.95,153.0,15.4
06/14/2023 06:12:51,-9.92,152.7,15.4
06/14/2023 06:12:52,-9.98,153.2,15.37
06/14/2023 06:12:52,-9.98,152.8,15.38
06/14/2023 06:12:53,-9.95,152.7,15.37
06/14/2023 06:12:54,-9.98,153.0,15.38
06/14/2023 06:12:55,-9.92,153.8,15.36
06/14/2023 06:12:56,-9.86,152.3,15.36
06/14/2023 06:12:57,-9.92,152.5,15.35
06/14/2023 06:12:58,-9.83,153.4,15.35
06/14/2023 06:12:59,-9.8,152.8,15.33
06/14/2023 06:13:00,-9.83,151.5,15.3
06/14/2023 06:13:01,-9.65,151.5,15.29
06/14/2023 06:13:02,-9.74,151.0,15.25
06/14/2023 06:13:03,-9.62,150.2,15.21
06/14/2023 06:13:04,-9.65,150.3,15.2
06/14/2023 06:13:05,-9.59,150.4,15.23
06/14/2023 06:13:06,-9.25,150.1,15.22
06/14/2023 06:13:07,-8.86,146.9,14.87
06/14/2023 06:13:08,-8.26,142.2,14.28
06/14/2023 06:13:09,-7.77,136.5,13.48
06/14/2023 06:13:10,-7.41,130.5,12.28
06/14/2023 06:13:11,-6.84,127.2,10.96
