#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Host Connected,Water Detect,End of File
1,06/13/2023 12:57:22,,Logged,,
2,06/13/2023 14:00:00,39.197,,,
3,06/13/2023 14:10:00,40.216,,,
4,06/13/2023 14:20:00,40.495,,,
5,06/13/2023 14:30:00,39.820,,,
6,06/13/2023 14:40:00,40.002,,,
7,06/13/2023 14:50:00,39.916,,,
8,06/13/2023 15:00:00,37.117,,,
9,06/13/2023 15:07:28,,,In,
10,06/13/2023 15:07:58,,,Out,
11,06/13/2023 15:08:13,,,In,
12,06/13/2023 15:08:28,,,Out,
13,06/13/2023 15:08:43,,,In,
14,06/13/2023 15:09:28,,,Out,
15,06/13/2023 15:10:00,21.973,,,
16,06/13/2023 15:10:58,,,In,
17,06/13/2023 15:11:13,,,Out,
18,06/13/2023 15:13:58,,,In,
19,06/13/2023 15:17:58,,,Out,
20,06/13/2023 15:20:00,15.516,,,
21,06/13/2023 15:30:00,19.260,,,
22,06/13/2023 15:40:00,20.654,,,
23,06/13/2023 15:40:28,,,In,
24,06/13/2023 15:50:00,14.090,,,
25,06/13/2023 16:00:00,13.715,,,
26,06/13/2023 16:10:00,13.586,,,
27,06/13/2023 16:20:00,13.500,,,
28,06/13/2023 16:30:00,13.436,,,
29,06/13/2023 16:40:00,13.511,,,
30,06/13/2023 16:50:00,13.457,,,
31,06/13/2023 17:00:00,13.446,,,
32,06/13/2023 17:10:00,13.704,,,
33,06/13/2023 17:20:00,13.725,,,
34,06/13/2023 17:30:00,13.800,,,
35,06/13/2023 17:40:00,13.446,,,
36,06/13/2023 17:50:00,13.511,,,
37,06/13/2023 18:00:00,14.144,,,
38,06/13/2023 18:10:00,14.583,,,
39,06/13/2023 18:20:00,14.927,,,
40,06/13/2023 18:30:00,15.334,,,
41,06/13/2023 18:40:00,15.506,,,
42,06/13/2023 18:50:00,15.731,,,
43,06/13/2023 19:00:00,15.731,,,
44,06/13/2023 19:10:00,15.903,,,
45,06/13/2023 19:20:00,16.031,,,
46,06/13/2023 19:30:00,15.913,,,
47,06/13/2023 19:40:00,16.074,,,
48,06/13/2023 19:50:00,15.667,,,
49,06/13/2023 20:00:00,15.731,,,
50,06/13/2023 20:10:00,15.978,,,
51,06/13/2023 20:20:00,16.063,,,
52,06/13/2023 20:30:00,16.096,,,
53,06/13/2023 20:40:00,16.010,,,
54,06/13/2023 20:50:00,15.967,,,
55,06/13/2023 21:00:00,15.849,,,
56,06/13/2023 21:10:00,15.720,,,
57,06/13/2023 21:20:00,15.688,,,
58,06/13/2023 21:30:00,15.527,,,
59,06/13/2023 21:40:00,15.259,,,
60,06/13/2023 21:50:00,15.098,,,
61,06/13/2023 22:00:00,14.948,,,
62,06/13/2023 22:10:00,15.077,,,
63,06/13/2023 22:20:00,15.055,,,
64,06/13/2023 22:30:00,15.077,,,
65,06/13/2023 22:40:00,15.077,,,
66,06/13/2023 22:50:00,15.045,,,
67,06/13/2023 23:00:00,15.098,,,
68,06/13/2023 23:10:00,14.980,,,
69,06/13/2023 23:20:00,14.776,,,
70,06/13/2023 23:30:00,14.734,,,
71,06/13/2023 23:40:00,14.658,,,
72,06/13/2023 23:50:00,14.594,,,
73,06/14/2023 00:00:00,14.498,,,
74,06/14/2023 00:10:00,14.551,,,
75,06/14/2023 00:20:00,14.519,,,
76,06/14/2023 00:30:00,14.487,,,
77,06/14/2023 00:40:00,14.444,,,
78,06/14/2023 00:50:00,14.433,,,
79,06/14/2023 01:00:00,14.401,,,
80,06/14/2023 01:10:00,14.390,,,
81,06/14/2023 01:20:00,14.347,,,
82,06/14/2023 01:30:00,14.358,,,
83,06/14/2023 01:40:00,14.337,,,
84,06/14/2023 01:50:00,14.315,,,
85,06/14/2023 02:00:00,14.294,,,
86,06/14/2023 02:10:00,14.283,,,
87,06/14/2023 02:20:00,14.272,,,
88,06/14/2023 02:30:00,14.262,,,
89,06/14/2023 02:40:00,14.251,,,
90,06/14/2023 02:50:00,14.272,,,
91,06/14/2023 03:00:00,14.283,,,
92,06/14/2023 03:10:00,14.305,,,
93,06/14/2023 03:20:00,14.283,,,
94,06/14/2023 03:30:00,14.251,,,
95,06/14/2023 03:40:00,14.251,,,
96,06/14/2023 03:50:00,14.240,,,
97,06/14/2023 04:00:00,14.219,,,
98,06/14/2023 04:10:00,14.197,,,
99,06/14/2023 04:20:00,14.154,,,
