#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Water Detect,Button Down,Button Up,Host Connected,End of File
1,06/13/2023 14:01:00,39.466,,,,,
2,06/13/2023 14:11:00,39.895,,,,,
3,06/13/2023 14:21:00,40.045,,,,,
4,06/13/2023 14:31:00,39.777,,,,,
5,06/13/2023 14:41:00,38.661,,,,,
6,06/13/2023 14:51:00,39.916,,,,,
7,06/13/2023 15:01:00,34.897,,,,,
8,06/13/2023 15:07:40,,In,,,,
9,06/13/2023 15:11:00,19.324,,,,,
10,06/13/2023 15:18:10,,Out,,,,
11,06/13/2023 15:21:00,14.669,,,,,
12,06/13/2023 15:21:45,,,Logged,Logged,,
13,06/13/2023 15:21:46,,,Logged,Logged,,
14,06/13/2023 15:31:00,20.386,,,,,
15,06/13/2023 15:39:25,,In,,,,
16,06/13/2023 15:41:00,19.313,,,,,
17,06/13/2023 15:51:00,13.329,,,,,
18,06/13/2023 16:01:00,13.114,,,,,
19,06/13/2023 16:11:00,13.168,,,,,
20,06/13/2023 16:21:00,12.985,,,,,
21,06/13/2023 16:31:00,12.942,,,,,
22,06/13/2023 16:41:00,13.114,,,,,
23,06/13/2023 16:51:00,13.039,,,,,
24,06/13/2023 17:01:00,13.135,,,,,
25,06/13/2023 17:11:00,13.253,,,,,
26,06/13/2023 17:21:00,12.878,,,,,
27,06/13/2023 17:31:00,12.942,,,,,
28,06/13/2023 17:41:00,12.889,,,,,
29,06/13/2023 17:51:00,12.631,,,,,
30,06/13/2023 18:01:00,12.792,,,,,
31,06/13/2023 18:11:00,13.028,,,,,
32,06/13/2023 18:21:00,13.168,,,,,
33,06/13/2023 18:31:00,13.307,,,,,
34,06/13/2023 18:41:00,13.425,,,,,
35,06/13/2023 18:51:00,13.479,,,,,
36,06/13/2023 19:01:00,13.618,,,,,
37,06/13/2023 19:11:00,13.532,,,,,
38,06/13/2023 19:21:00,13.650,,,,,
39,06/13/2023 19:31:00,13.371,,,,,
40,06/13/2023 19:41:00,13.243,,,,,
41,06/13/2023 19:51:00,13.146,,,,,
42,06/13/2023 20:01:00,13.607,,,,,
43,06/13/2023 20:11:00,13.811,,,,,
44,06/13/2023 20:21:00,13.886,,,,,
45,06/13/2023 20:31:00,13.908,,,,,
46,06/13/2023 20:41:00,13.897,,,,,
47,06/13/2023 20:51:00,13.436,,,,,
48,06/13/2023 21:01:00,12.932,,,,,
