#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Water Detect,Host Connected,End of File
1,06/13/2023 14:01:00,39.326,,,,,
2,06/13/2023 14:11:00,39.980,,,,,
3,06/13/2023 14:21:00,40.249,,,,,
4,06/13/2023 14:31:00,40.131,,,,,
5,06/13/2023 14:41:00,37.975,,,,,
6,06/13/2023 14:51:00,33.224,,,,,
7,06/13/2023 15:01:00,28.644,,,,,
8,06/13/2023 15:11:00,25.544,,,,,
9,06/13/2023 15:21:00,24.633,,,,,
10,06/13/2023 15:31:00,23.796,,,,,
11,06/13/2023 15:33:39,,Logged,Logged,,,
12,06/13/2023 15:38:50,,,,In,,
13,06/13/2023 15:41:00,19.388,,,,,
14,06/13/2023 15:51:00,6.668,,,,,
15,06/13/2023 16:01:00,5.660,,,,,
16,06/13/2023 16:11:00,5.628,,,,,
17,06/13/2023 16:21:00,5.939,,,,,
18,06/13/2023 16:31:00,6.196,,,,,
19,06/13/2023 16:41:00,7.108,,,,,
20,06/13/2023 16:51:00,6.786,,,,,
21,06/13/2023 17:01:00,6.808,,,,,
22,06/13/2023 17:11:00,6.969,,,,,
23,06/13/2023 17:21:00,7.312,,,,,
24,06/13/2023 17:31:00,7.698,,,,,
25,06/13/2023 17:41:00,7.816,,,,,
26,06/13/2023 17:51:00,7.912,,,,,
27,06/13/2023 18:01:00,7.794,,,,,
28,06/13/2023 18:11:00,7.280,,,,,
29,06/13/2023 18:21:00,7.226,,,,,
30,06/13/2023 18:31:00,7.398,,,,,
31,06/13/2023 18:41:00,7.794,,,,,
32,06/13/2023 18:51:00,7.247,,,,,
33,06/13/2023 19:01:00,7.247,,,,,
34,06/13/2023 19:11:00,7.247,,,,,
35,06/13/2023 19:21:00,7.162,,,,,
36,06/13/2023 19:31:00,7.097,,,,,
37,06/13/2023 19:41:00,6.904,,,,,
38,06/13/2023 19:51:00,6.829,,,,,
39,06/13/2023 20:01:00,6.797,,,,,
40,06/13/2023 20:11:00,6.733,,,,,
