#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Water Detect,Host Connected,End of File
1,06/13/2023 14:01:00,41.203,,,
2,06/13/2023 14:11:00,41.793,,,
3,06/13/2023 14:21:00,42.018,,,
4,06/13/2023 14:31:00,40.999,,,
5,06/13/2023 14:41:00,39.616,,,
6,06/13/2023 14:51:00,34.521,,,
7,06/13/2023 15:01:00,30.542,,,
8,06/13/2023 15:11:00,27.593,,,
9,06/13/2023 15:21:00,26.360,,,
10,06/13/2023 15:31:00,24.386,,,
11,06/13/2023 15:37:27,,In,,
12,06/13/2023 15:41:00,12.664,,,
13,06/13/2023 15:51:00,5.585,,,
14,06/13/2023 16:01:00,5.231,,,
15,06/13/2023 16:11:00,5.177,,,
16,06/13/2023 16:21:00,5.263,,,
17,06/13/2023 16:31:00,5.338,,,
18,06/13/2023 16:41:00,5.499,,,
19,06/13/2023 16:51:00,5.553,,,
20,06/13/2023 17:01:00,5.660,,,
21,06/13/2023 17:11:00,5.628,,,
22,06/13/2023 17:21:00,5.553,,,
23,06/13/2023 17:31:00,5.542,,,
24,06/13/2023 17:41:00,5.435,,,
25,06/13/2023 17:51:00,5.349,,,
26,06/13/2023 18:01:00,5.328,,,
27,06/13/2023 18:11:00,5.285,,,
28,06/13/2023 18:21:00,5.295,,,
29,06/13/2023 18:31:00,5.306,,,
30,06/13/2023 18:41:00,5.263,,,
31,06/13/2023 18:51:00,5.253,,,
32,06/13/2023 19:01:00,5.274,,,
33,06/13/2023 19:11:00,5.285,,,
34,06/13/2023 19:21:00,5.231,,,
35,06/13/2023 19:31:00,5.242,,,
36,06/13/2023 19:41:00,5.081,,,
37,06/13/2023 19:51:00,5.059,,,
38,06/13/2023 20:01:00,5.145,,,
39,06/13/2023 20:11:00,5.135,,,
40,06/13/2023 20:21:00,5.306,,,
41,06/13/2023 20:31:00,5.253,,,
42,06/13/2023 20:41:00,5.295,,,
43,06/13/2023 20:51:00,5.242,,,
44,06/13/2023 21:01:00,5.177,,,
45,06/13/2023 21:11:00,5.145,,,
46,06/13/2023 21:21:00,5.124,,,
47,06/13/2023 21:31:00,5.124,,,
48,06/13/2023 21:41:00,5.113,,,
49,06/13/2023 21:51:00,5.156,,,
50,06/13/2023 22:01:00,5.177,,,
51,06/13/2023 22:11:00,5.167,,,
52,06/13/2023 22:21:00,5.156,,,
53,06/13/2023 22:31:00,5.135,,,
54,06/13/2023 22:41:00,5.124,,,
55,06/13/2023 22:51:00,5.113,,,
56,06/13/2023 23:01:00,5.102,,,
57,06/13/2023 23:11:00,5.092,,,
58,06/13/2023 23:21:00,5.092,,,
59,06/13/2023 23:31:00,5.124,,,
60,06/13/2023 23:41:00,5.113,,,
61,06/13/2023 23:51:00,5.177,,,
62,06/14/2023 00:01:00,5.242,,,
63,06/14/2023 00:11:00,5.242,,,
64,06/14/2023 00:21:00,5.263,,,
65,06/14/2023 00:31:00,5.295,,,
66,06/14/2023 00:41:00,5.274,,,
67,06/14/2023 00:51:00,5.253,,,
68,06/14/2023 01:01:00,5.210,,,
69,06/14/2023 01:11:00,5.188,,,
70,06/14/2023 01:21:00,5.199,,,
71,06/14/2023 01:31:00,5.156,,,
72,06/14/2023 01:41:00,5.167,,,
73,06/14/2023 01:51:00,5.177,,,
74,06/14/2023 02:01:00,5.145,,,
75,06/14/2023 02:11:00,5.145,,,
76,06/14/2023 02:21:00,5.135,,,
77,06/14/2023 02:31:00,5.102,,,
78,06/14/2023 02:41:00,5.124,,,
79,06/14/2023 02:51:00,5.145,,,
80,06/14/2023 03:01:00,5.124,,,
81,06/14/2023 03:11:00,5.156,,,
82,06/14/2023 03:21:00,5.167,,,
83,06/14/2023 03:31:00,5.231,,,
84,06/14/2023 03:41:00,5.360,,,
85,06/14/2023 03:51:00,5.381,,,
86,06/14/2023 04:01:00,5.403,,,
87,06/14/2023 04:11:00,5.413,,,
88,06/14/2023 04:21:00,5.413,,,
89,06/14/2023 04:31:00,5.392,,,
90,06/14/2023 04:41:00,5.403,,,
91,06/14/2023 04:51:00,5.413,,,
92,06/14/2023 05:01:00,5.413,,,
93,06/14/2023 05:11:00,5.381,,,
94,06/14/2023 05:21:00,5.349,,,
95,06/14/2023 05:31:00,5.328,,,
96,06/14/2023 05:41:00,5.317,,,
97,06/14/2023 05:51:00,5.328,,,
98,06/14/2023 06:01:00,5.295,,,
99,06/14/2023 06:11:00,5.263,,,
100,06/14/2023 06:21:00,5.242,,,
101,06/14/2023 06:31:00,5.210,,,
102,06/14/2023 06:41:00,5.199,,,
103,06/14/2023 06:51:00,5.231,,,
104,06/14/2023 07:01:00,5.242,,,
105,06/14/2023 07:11:00,5.263,,,
106,06/14/2023 07:21:00,5.220,,,
107,06/14/2023 07:31:00,5.231,,,
108,06/14/2023 07:41:00,5.177,,,
109,06/14/2023 07:51:00,5.231,,,
110,06/14/2023 08:01:00,5.242,,,
111,06/14/2023 08:11:00,5.242,,,
112,06/14/2023 08:21:00,5.220,,,
113,06/14/2023 08:31:00,5.156,,,
114,06/14/2023 08:41:00,5.199,,,
115,06/14/2023 08:51:00,5.199,,,
116,06/14/2023 09:01:00,5.210,,,
117,06/14/2023 09:11:00,5.177,,,
118,06/14/2023 09:21:00,5.156,,,
119,06/14/2023 09:31:00,5.177,,,
120,06/14/2023 09:41:00,5.199,,,
121,06/14/2023 09:51:00,5.210,,,
122,06/14/2023 10:01:00,5.210,,,
123,06/14/2023 10:11:00,5.210,,,
124,06/14/2023 10:21:00,5.210,,,
125,06/14/2023 10:31:00,5.210,,,
126,06/14/2023 10:41:00,5.210,,,
127,06/14/2023 10:51:00,5.210,,,
128,06/14/2023 11:01:00,5.210,,,
129,06/14/2023 11:11:00,5.199,,,
130,06/14/2023 11:21:00,5.210,,,
131,06/14/2023 11:31:00,5.188,,,
132,06/14/2023 11:41:00,5.188,,,
133,06/14/2023 11:51:00,5.177,,,
134,06/14/2023 12:01:00,5.177,,,
135,06/14/2023 12:11:00,5.177,,,
136,06/14/2023 12:21:00,5.177,,,
137,06/14/2023 12:31:00,5.177,,,
138,06/14/2023 12:41:00,5.167,,,
139,06/14/2023 12:51:00,5.177,,,
140,06/14/2023 13:01:00,5.177,,,
141,06/14/2023 13:11:00,5.210,,,
142,06/14/2023 13:21:00,5.199,,,
143,06/14/2023 13:31:00,5.220,,,
144,06/14/2023 13:41:00,5.220,,,
145,06/14/2023 13:51:00,5.263,,,
146,06/14/2023 14:01:00,5.242,,,
147,06/14/2023 14:11:00,5.242,,,
148,06/14/2023 14:21:00,5.263,,,
149,06/14/2023 14:31:00,5.242,,,
150,06/14/2023 14:41:00,5.231,,,
151,06/14/2023 14:51:00,5.210,,,
152,06/14/2023 15:01:00,5.220,,,
153,06/14/2023 15:11:00,5.210,,,
154,06/14/2023 15:21:00,5.199,,,
155,06/14/2023 15:31:00,5.199,,,
156,06/14/2023 15:41:00,5.199,,,
157,06/14/2023 15:51:00,5.210,,,
158,06/14/2023 16:01:00,5.210,,,
159,06/14/2023 16:11:00,5.210,,,
160,06/14/2023 16:21:00,5.199,,,
161,06/14/2023 16:31:00,5.199,,,
162,06/14/2023 16:41:00,5.210,,,
163,06/14/2023 16:51:00,5.210,,,
164,06/14/2023 17:01:00,5.188,,,
165,06/14/2023 17:11:00,5.177,,,
166,06/14/2023 17:21:00,5.156,,,
167,06/14/2023 17:31:00,5.177,,,
168,06/14/2023 17:41:00,5.199,,,
169,06/14/2023 17:51:00,5.199,,,
170,06/14/2023 18:01:00,5.188,,,
171,06/14/2023 18:11:00,5.199,,,
172,06/14/2023 18:21:00,5.199,,,
173,06/14/2023 18:31:00,5.188,,,
174,06/14/2023 18:41:00,5.199,,,
175,06/14/2023 18:51:00,5.199,,,
176,06/14/2023 19:01:00,5.199,,,
177,06/14/2023 19:11:00,5.177,,,
178,06/14/2023 19:21:00,5.156,,,
179,06/14/2023 19:31:00,5.156,,,
180,06/14/2023 19:41:00,5.156,,,
181,06/14/2023 19:51:00,5.156,,,
182,06/14/2023 20:01:00,5.145,,,
183,06/14/2023 20:11:00,5.145,,,
184,06/14/2023 20:21:00,5.156,,,
185,06/14/2023 20:31:00,5.145,,,
186,06/14/2023 20:41:00,5.156,,,
187,06/14/2023 20:51:00,5.135,,,
188,06/14/2023 21:01:00,5.145,,,
189,06/14/2023 21:11:00,5.156,,,
190,06/14/2023 21:21:00,5.156,,,
191,06/14/2023 21:31:00,5.124,,,
192,06/14/2023 21:41:00,5.124,,,
193,06/14/2023 21:51:00,5.124,,,
194,06/14/2023 22:01:00,5.124,,,
195,06/14/2023 22:11:00,5.124,,,
196,06/14/2023 22:21:00,5.124,,,
