#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Water Detect,Button Down,Button Up,Host Connected,End of File
1,06/15/2023 17:30:00,24.858,,,,,
2,06/15/2023 17:31:52,,In,,,,
3,06/15/2023 17:40:00,12.492,,,,,
4,06/15/2023 17:50:00,11.913,,,,,
5,06/15/2023 18:00:00,11.773,,,,,
6,06/15/2023 18:10:00,12.170,,,,,
7,06/15/2023 18:20:00,11.934,,,,,
8,06/15/2023 18:30:00,11.570,,,,,
9,06/15/2023 18:40:00,11.537,,,,,
10,06/15/2023 18:50:00,11.484,,,,,
11,06/15/2023 19:00:00,11.301,,,,,
12,06/15/2023 19:10:00,11.194,,,,,
13,06/15/2023 19:20:00,11.119,,,,,
14,06/15/2023 19:30:00,11.066,,,,,
15,06/15/2023 19:40:00,11.076,,,,,
16,06/15/2023 19:50:00,11.162,,,,,
17,06/15/2023 20:00:00,11.366,,,,,
18,06/15/2023 20:10:00,11.334,,,,,
19,06/15/2023 20:20:00,11.312,,,,,
20,06/15/2023 20:30:00,11.162,,,,,
21,06/15/2023 20:40:00,11.076,,,,,
22,06/15/2023 20:50:00,11.044,,,,,
23,06/15/2023 21:00:00,11.055,,,,,
24,06/15/2023 21:10:00,11.184,,,,,
25,06/15/2023 21:20:00,11.141,,,,,
26,06/15/2023 21:30:00,11.216,,,,,
27,06/15/2023 21:40:00,11.291,,,,,
28,06/15/2023 21:50:00,11.366,,,,,
29,06/15/2023 22:00:00,11.441,,,,,
30,06/15/2023 22:10:00,11.741,,,,,
31,06/15/2023 22:20:00,13.135,,,,,
32,06/15/2023 22:30:00,13.661,,,,,
33,06/15/2023 22:40:00,13.790,,,,,
34,06/15/2023 22:50:00,13.747,,,,,
35,06/15/2023 23:00:00,13.554,,,,,
36,06/15/2023 23:10:00,13.296,,,,,
37,06/15/2023 23:20:00,12.975,,,,,
38,06/15/2023 23:30:00,12.942,,,,,
39,06/15/2023 23:40:00,12.824,,,,,
40,06/15/2023 23:50:00,12.610,,,,,
41,06/16/2023 00:00:00,12.428,,,,,
42,06/16/2023 00:10:00,12.224,,,,,
43,06/16/2023 00:20:00,12.202,,,,,
44,06/16/2023 00:30:00,12.288,,,,,
45,06/16/2023 00:40:00,12.213,,,,,
46,06/16/2023 00:50:00,12.170,,,,,
47,06/16/2023 01:00:00,12.170,,,,,
48,06/16/2023 01:10:00,12.170,,,,,
49,06/16/2023 01:20:00,12.159,,,,,
