#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,Stopped,End of File
1,06/11/2023 15:40:36,,Logged,,,,
2,06/11/2023 16:01:00,19.528,,,,,
3,06/11/2023 16:01:30,19.420,,,,,
4,06/11/2023 16:02:00,19.324,,,,,
5,06/11/2023 16:02:30,19.249,,,,,
6,06/11/2023 16:03:00,19.206,,,,,
7,06/11/2023 16:03:30,19.163,,,,,
8,06/11/2023 16:04:00,19.131,,,,,
9,06/11/2023 16:04:30,19.120,,,,,
10,06/11/2023 16:05:00,19.109,,,,,
11,06/11/2023 16:05:30,19.099,,,,,
12,06/11/2023 16:06:00,19.066,,,,,
13,06/11/2023 16:06:30,19.077,,,,,
14,06/11/2023 16:07:00,19.045,,,,,
15,06/11/2023 16:07:30,19.066,,,,,
16,06/11/2023 16:08:00,19.056,,,,,
17,06/11/2023 16:08:30,19.056,,,,,
18,06/11/2023 16:09:00,19.045,,,,,
19,06/11/2023 16:09:30,19.045,,,,,
20,06/11/2023 16:10:00,19.066,,,,,
21,06/11/2023 16:10:30,19.056,,,,,
22,06/11/2023 16:11:00,19.077,,,,,
23,06/11/2023 16:11:30,19.056,,,,,
24,06/11/2023 16:12:00,19.056,,,,,
25,06/11/2023 16:12:30,19.066,,,,,
26,06/11/2023 16:13:00,19.056,,,,,
27,06/11/2023 16:13:30,19.066,,,,,
28,06/11/2023 16:14:00,19.066,,,,,
29,06/11/2023 16:14:30,19.066,,,,,
30,06/11/2023 16:15:00,19.088,,,,,
31,06/11/2023 16:15:30,19.056,,,,,
32,06/11/2023 16:16:00,19.077,,,,,
33,06/11/2023 16:16:30,19.099,,,,,
34,06/11/2023 16:16:35,,,Logged,Logged,,
35,06/11/2023 16:17:00,19.088,,,,,
36,06/11/2023 16:17:30,19.109,,,,,
37,06/11/2023 16:18:00,19.099,,,,,
38,06/11/2023 16:18:30,19.088,,,,,
39,06/11/2023 16:19:00,19.088,,,,,
40,06/11/2023 16:19:30,19.077,,,,,
41,06/11/2023 16:20:00,19.099,,,,,
42,06/11/2023 16:20:30,19.099,,,,,
43,06/11/2023 16:21:00,19.088,,,,,
44,06/11/2023 16:21:30,18.487,,,,,
45,06/11/2023 16:22:00,16.997,,,,,
46,06/11/2023 16:22:30,15.323,,,,,
47,06/11/2023 16:23:00,13.672,,,,,
48,06/11/2023 16:23:30,12.074,,,,,
49,06/11/2023 16:24:00,10.604,,,,,
50,06/11/2023 16:24:30,9.360,,,,,
51,06/11/2023 16:25:00,8.234,,,,,
52,06/11/2023 16:25:30,7.387,,,,,
53,06/11/2023 16:26:00,6.625,,,,,
54,06/11/2023 16:26:30,6.068,,,,,
55,06/11/2023 16:26:47,,,Logged,Logged,,
56,06/11/2023 16:26:56,,,Logged,,,
57,06/11/2023 16:26:58,,,,Logged,,
58,06/11/2023 16:27:00,5.521,,,,,
59,06/11/2023 16:27:30,5.135,,,,,
60,06/11/2023 16:27:33,,,Logged,Logged,,
61,06/11/2023 16:28:00,4.791,,,,,
62,06/11/2023 16:28:30,4.534,,,,,
63,06/11/2023 16:29:00,4.287,,,,,
64,06/11/2023 16:29:30,4.105,,,,,
65,06/11/2023 16:30:00,3.933,,,,,
66,06/11/2023 16:30:30,3.858,,,,,
67,06/11/2023 16:31:00,3.772,,,,,
68,06/11/2023 16:31:30,3.697,,,,,
69,06/11/2023 16:32:00,3.665,,,,,
70,06/11/2023 16:32:30,3.644,,,,,
71,06/11/2023 16:33:00,3.633,,,,,
72,06/11/2023 16:33:30,3.644,,,,,
73,06/11/2023 16:34:00,3.654,,,,,
74,06/11/2023 16:34:30,3.654,,,,,
