#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Stopped,End of File
1,06/11/2023 15:49:25,,Logged,Logged,,
2,06/11/2023 16:01:00,19.849,,,,
3,06/11/2023 16:01:30,19.689,,,,
4,06/11/2023 16:02:00,19.571,,,,
5,06/11/2023 16:02:30,19.474,,,,
6,06/11/2023 16:03:00,19.388,,,,
7,06/11/2023 16:03:30,19.345,,,,
8,06/11/2023 16:04:00,19.292,,,,
9,06/11/2023 16:04:30,19.249,,,,
10,06/11/2023 16:05:00,19.217,,,,
11,06/11/2023 16:05:30,19.184,,,,
12,06/11/2023 16:06:00,19.163,,,,
13,06/11/2023 16:06:30,19.131,,,,
14,06/11/2023 16:07:00,19.109,,,,
15,06/11/2023 16:07:30,19.109,,,,
16,06/11/2023 16:08:00,19.099,,,,
17,06/11/2023 16:08:30,19.088,,,,
18,06/11/2023 16:09:00,19.088,,,,
19,06/11/2023 16:09:30,19.077,,,,
20,06/11/2023 16:10:00,19.077,,,,
21,06/11/2023 16:10:30,19.077,,,,
22,06/11/2023 16:11:00,19.077,,,,
23,06/11/2023 16:11:30,19.077,,,,
24,06/11/2023 16:12:00,19.077,,,,
25,06/11/2023 16:12:30,19.066,,,,
26,06/11/2023 16:13:00,19.077,,,,
27,06/11/2023 16:13:30,19.077,,,,
28,06/11/2023 16:14:00,19.077,,,,
29,06/11/2023 16:14:30,19.077,,,,
30,06/11/2023 16:15:00,19.077,,,,
31,06/11/2023 16:15:30,19.077,,,,
32,06/11/2023 16:16:00,19.077,,,,
33,06/11/2023 16:16:30,19.077,,,,
34,06/11/2023 16:17:00,19.077,,,,
35,06/11/2023 16:17:30,19.077,,,,
36,06/11/2023 16:18:00,19.077,,,,
37,06/11/2023 16:18:30,19.077,,,,
38,06/11/2023 16:19:00,19.077,,,,
39,06/11/2023 16:19:30,19.077,,,,
40,06/11/2023 16:20:00,19.077,,,,
41,06/11/2023 16:20:30,19.077,,,,
42,06/11/2023 16:21:00,19.077,,,,
43,06/11/2023 16:21:30,18.755,,,,
44,06/11/2023 16:22:00,17.565,,,,
45,06/11/2023 16:22:30,15.967,,,,
46,06/11/2023 16:23:00,14.315,,,,
47,06/11/2023 16:23:30,12.717,,,,
48,06/11/2023 16:24:00,11.269,,,,
49,06/11/2023 16:24:30,9.950,,,,
50,06/11/2023 16:25:00,8.824,,,,
51,06/11/2023 16:25:30,7.869,,,,
52,06/11/2023 16:26:00,7.076,,,,
53,06/11/2023 16:26:30,6.422,,,,
54,06/11/2023 16:27:00,5.875,,,,
55,06/11/2023 16:27:30,5.413,,,,
56,06/11/2023 16:28:00,5.038,,,,
57,06/11/2023 16:28:30,4.716,,,,
58,06/11/2023 16:29:00,4.459,,,,
59,06/11/2023 16:29:30,4.255,,,,
60,06/11/2023 16:30:00,4.094,,,,
61,06/11/2023 16:30:30,3.976,,,,
62,06/11/2023 16:31:00,3.869,,,,
63,06/11/2023 16:31:30,3.805,,,,
64,06/11/2023 16:32:00,3.740,,,,
65,06/11/2023 16:32:30,3.708,,,,
66,06/11/2023 16:33:00,3.687,,,,
67,06/11/2023 16:33:30,3.676,,,,
68,06/11/2023 16:34:00,3.676,,,,
69,06/11/2023 16:34:30,3.697,,,,
70,06/11/2023 16:35:00,3.719,,,,
71,06/11/2023 16:35:30,3.740,,,,
72,06/11/2023 16:36:00,3.783,,,,
73,06/11/2023 16:36:30,3.826,,,,
74,06/11/2023 16:37:00,3.858,,,,
75,06/11/2023 16:37:30,3.912,,,,
76,06/11/2023 16:38:00,3.966,,,,
77,06/11/2023 16:38:30,4.019,,,,
78,06/11/2023 16:39:00,4.073,,,,
79,06/11/2023 16:39:23,,Logged,,,
80,06/11/2023 16:39:24,,,Logged,,
81,06/11/2023 16:39:30,4.126,,,,
82,06/11/2023 16:40:00,4.201,,,,
83,06/11/2023 16:40:30,4.255,,,,
84,06/11/2023 16:41:00,4.319,,,,
85,06/11/2023 16:41:30,4.373,,,,
86,06/11/2023 16:42:00,4.437,,,,
87,06/11/2023 16:42:30,4.512,,,,
88,06/11/2023 16:43:00,4.588,,,,
89,06/11/2023 16:43:30,4.663,,,,
90,06/11/2023 16:44:00,4.759,,,,
91,06/11/2023 16:44:30,4.856,,,,
92,06/11/2023 16:45:00,4.952,,,,
93,06/11/2023 16:45:30,5.038,,,,
94,06/11/2023 16:46:00,5.135,,,,
95,06/11/2023 16:46:30,5.210,,,,
96,06/11/2023 16:47:00,5.295,,,,
97,06/11/2023 16:47:30,5.381,,,,
98,06/11/2023 16:48:00,5.456,,,,
99,06/11/2023 16:48:30,5.531,,,,
100,06/11/2023 16:49:00,5.596,,,,
101,06/11/2023 16:49:30,5.671,,,,
102,06/11/2023 16:50:00,5.746,,,,
103,06/11/2023 16:50:30,5.810,,,,
104,06/11/2023 16:51:00,5.896,,,,
105,06/11/2023 16:51:30,5.971,,,,
106,06/11/2023 16:52:00,6.046,,,,
107,06/11/2023 16:52:30,6.132,,,,
108,06/11/2023 16:53:00,6.218,,,,
109,06/11/2023 16:53:30,6.282,,,,
110,06/11/2023 16:54:00,6.368,,,,
111,06/11/2023 16:54:30,6.443,,,,
112,06/11/2023 16:55:00,6.518,,,,
113,06/11/2023 16:55:30,6.593,,,,
114,06/11/2023 16:56:00,6.658,,,,
115,06/11/2023 16:56:30,6.733,,,,
116,06/11/2023 16:57:00,6.797,,,,
117,06/11/2023 16:57:30,6.883,,,,
118,06/11/2023 16:58:00,6.936,,,,
119,06/11/2023 16:58:30,7.022,,,,
120,06/11/2023 16:59:00,7.097,,,,
121,06/11/2023 16:59:30,7.172,,,,
122,06/11/2023 16:59:59,,,,Logged,Logged
