#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Host Connected,Stopped,End of File
1,06/11/2023 15:49:38,,Logged,,
2,06/11/2023 16:01:00,19.474,,,
3,06/11/2023 16:01:30,19.367,,,
4,06/11/2023 16:02:00,19.292,,,
5,06/11/2023 16:02:30,19.249,,,
6,06/11/2023 16:03:00,19.195,,,
7,06/11/2023 16:03:30,19.163,,,
8,06/11/2023 16:04:00,19.131,,,
9,06/11/2023 16:04:30,19.120,,,
10,06/11/2023 16:05:00,19.088,,,
11,06/11/2023 16:05:30,19.077,,,
12,06/11/2023 16:06:00,19.056,,,
13,06/11/2023 16:06:30,19.045,,,
14,06/11/2023 16:07:00,19.045,,,
15,06/11/2023 16:07:30,19.045,,,
16,06/11/2023 16:08:00,19.045,,,
17,06/11/2023 16:08:30,19.056,,,
18,06/11/2023 16:09:00,19.056,,,
19,06/11/2023 16:09:30,19.056,,,
20,06/11/2023 16:10:00,19.056,,,
21,06/11/2023 16:10:30,19.056,,,
22,06/11/2023 16:11:00,19.056,,,
23,06/11/2023 16:11:30,19.066,,,
24,06/11/2023 16:12:00,19.066,,,
25,06/11/2023 16:12:30,19.077,,,
26,06/11/2023 16:13:00,19.077,,,
27,06/11/2023 16:13:30,19.077,,,
28,06/11/2023 16:14:00,19.077,,,
29,06/11/2023 16:14:30,19.077,,,
30,06/11/2023 16:15:00,19.077,,,
31,06/11/2023 16:15:30,19.077,,,
32,06/11/2023 16:16:00,19.077,,,
33,06/11/2023 16:16:30,19.077,,,
34,06/11/2023 16:17:00,19.088,,,
35,06/11/2023 16:17:30,19.077,,,
36,06/11/2023 16:18:00,19.077,,,
37,06/11/2023 16:18:30,19.077,,,
38,06/11/2023 16:19:00,19.077,,,
39,06/11/2023 16:19:30,19.077,,,
40,06/11/2023 16:20:00,19.077,,,
41,06/11/2023 16:20:30,19.077,,,
42,06/11/2023 16:21:00,19.077,,,
43,06/11/2023 16:21:30,18.788,,,
44,06/11/2023 16:22:00,17.661,,,
45,06/11/2023 16:22:30,16.149,,,
46,06/11/2023 16:23:00,14.498,,,
47,06/11/2023 16:23:30,12.921,,,
48,06/11/2023 16:24:00,11.452,,,
49,06/11/2023 16:24:30,10.143,,,
50,06/11/2023 16:25:00,8.985,,,
51,06/11/2023 16:25:30,8.020,,,
52,06/11/2023 16:26:00,7.215,,,
53,06/11/2023 16:26:30,6.529,,,
54,06/11/2023 16:27:00,5.982,,,
55,06/11/2023 16:27:30,5.510,,,
56,06/11/2023 16:28:00,5.124,,,
57,06/11/2023 16:28:30,4.802,,,
58,06/11/2023 16:29:00,4.523,,,
59,06/11/2023 16:29:30,4.319,,,
60,06/11/2023 16:30:00,4.137,,,
61,06/11/2023 16:30:30,3.998,,,
62,06/11/2023 16:31:00,3.901,,,
63,06/11/2023 16:31:30,3.826,,,
64,06/11/2023 16:32:00,3.772,,,
65,06/11/2023 16:32:30,3.740,,,
66,06/11/2023 16:33:00,3.708,,,
67,06/11/2023 16:33:30,3.708,,,
68,06/11/2023 16:34:00,3.708,,,
69,06/11/2023 16:34:30,3.708,,,
70,06/11/2023 16:35:00,3.740,,,
71,06/11/2023 16:35:30,3.772,,,
72,06/11/2023 16:36:00,3.805,,,
73,06/11/2023 16:36:30,3.837,,,
74,06/11/2023 16:37:00,3.890,,,
75,06/11/2023 16:37:30,3.933,,,
76,06/11/2023 16:38:00,3.987,,,
77,06/11/2023 16:38:30,4.041,,,
78,06/11/2023 16:39:00,4.094,,,
79,06/11/2023 16:39:30,4.148,,,
80,06/11/2023 16:40:00,4.234,,,
81,06/11/2023 16:40:30,4.309,,,
82,06/11/2023 16:41:00,4.352,,,
83,06/11/2023 16:41:30,4.416,,,
84,06/11/2023 16:42:00,4.470,,,
85,06/11/2023 16:42:30,4.545,,,
86,06/11/2023 16:43:00,4.609,,,
87,06/11/2023 16:43:30,4.695,,,
88,06/11/2023 16:44:00,4.791,,,
89,06/11/2023 16:44:30,4.888,,,
90,06/11/2023 16:45:00,4.974,,,
91,06/11/2023 16:45:30,5.070,,,
92,06/11/2023 16:46:00,5.156,,,
93,06/11/2023 16:46:30,5.231,,,
94,06/11/2023 16:47:00,5.317,,,
95,06/11/2023 16:47:30,5.392,,,
96,06/11/2023 16:48:00,5.467,,,
97,06/11/2023 16:48:30,5.542,,,
98,06/11/2023 16:49:00,5.617,,,
99,06/11/2023 16:49:30,5.692,,,
100,06/11/2023 16:50:00,5.757,,,
101,06/11/2023 16:50:30,5.842,,,
102,06/11/2023 16:51:00,5.917,,,
103,06/11/2023 16:51:30,5.982,,,
104,06/11/2023 16:52:00,6.057,,,
105,06/11/2023 16:52:30,6.132,,,
106,06/11/2023 16:53:00,6.218,,,
107,06/11/2023 16:53:30,6.304,,,
108,06/11/2023 16:54:00,6.389,,,
109,06/11/2023 16:54:30,6.475,,,
110,06/11/2023 16:55:00,6.540,,,
111,06/11/2023 16:55:30,6.615,,,
112,06/11/2023 16:56:00,6.690,,,
113,06/11/2023 16:56:30,6.765,,,
114,06/11/2023 16:57:00,6.829,,,
115,06/11/2023 16:57:30,6.893,,,
116,06/11/2023 16:58:00,6.969,,,
117,06/11/2023 16:58:30,7.033,,,
118,06/11/2023 16:59:00,7.108,,,
119,06/11/2023 16:59:30,7.183,,,
120,06/11/2023 16:59:59,,,Logged,Logged
