#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,Stopped,End of File
1,06/11/2023 15:51:04,,Logged,,,,
2,06/11/2023 16:01:00,19.656,,,,,
3,06/11/2023 16:01:30,19.549,,,,,
4,06/11/2023 16:02:00,19.453,,,,,
5,06/11/2023 16:02:30,19.388,,,,,
6,06/11/2023 16:03:00,19.335,,,,,
7,06/11/2023 16:03:30,19.302,,,,,
8,06/11/2023 16:04:00,19.270,,,,,
9,06/11/2023 16:04:30,19.249,,,,,
10,06/11/2023 16:05:00,19.217,,,,,
11,06/11/2023 16:05:30,19.184,,,,,
12,06/11/2023 16:06:00,19.163,,,,,
13,06/11/2023 16:06:30,19.142,,,,,
14,06/11/2023 16:07:00,19.131,,,,,
15,06/11/2023 16:07:30,19.120,,,,,
16,06/11/2023 16:08:00,19.109,,,,,
17,06/11/2023 16:08:30,19.109,,,,,
18,06/11/2023 16:09:00,19.109,,,,,
19,06/11/2023 16:09:30,19.109,,,,,
20,06/11/2023 16:10:00,19.120,,,,,
21,06/11/2023 16:10:30,19.109,,,,,
22,06/11/2023 16:11:00,19.109,,,,,
23,06/11/2023 16:11:22,,,Logged,Logged,,
24,06/11/2023 16:11:23,,,Logged,,,
25,06/11/2023 16:11:24,,,Logged,Logged,,
26,06/11/2023 16:11:27,,,,Logged,,
27,06/11/2023 16:11:30,19.120,,,,,
28,06/11/2023 16:11:43,,,Logged,,,
29,06/11/2023 16:11:44,,,,Logged,,
30,06/11/2023 16:12:00,19.131,,,,,
31,06/11/2023 16:12:30,19.131,,,,,
32,06/11/2023 16:13:00,19.142,,,,,
33,06/11/2023 16:13:30,19.131,,,,,
34,06/11/2023 16:14:00,19.131,,,,,
35,06/11/2023 16:14:30,19.131,,,,,
36,06/11/2023 16:15:00,19.131,,,,,
37,06/11/2023 16:15:30,19.131,,,,,
38,06/11/2023 16:16:00,19.131,,,,,
39,06/11/2023 16:16:30,19.131,,,,,
40,06/11/2023 16:17:00,19.131,,,,,
41,06/11/2023 16:17:30,19.131,,,,,
42,06/11/2023 16:17:50,,,Logged,Logged,,
43,06/11/2023 16:18:00,19.131,,,,,
44,06/11/2023 16:18:30,19.142,,,,,
45,06/11/2023 16:19:00,19.131,,,,,
46,06/11/2023 16:19:30,19.131,,,,,
47,06/11/2023 16:20:00,19.131,,,,,
48,06/11/2023 16:20:30,19.120,,,,,
49,06/11/2023 16:21:00,19.131,,,,,
50,06/11/2023 16:21:20,,,Logged,Logged,,
51,06/11/2023 16:21:30,18.820,,,,,
52,06/11/2023 16:22:00,17.661,,,,,
53,06/11/2023 16:22:30,16.053,,,,,
54,06/11/2023 16:23:00,14.326,,,,,
55,06/11/2023 16:23:30,12.642,,,,,
56,06/11/2023 16:24:00,11.162,,,,,
57,06/11/2023 16:24:30,9.864,,,,,
58,06/11/2023 16:25:00,8.738,,,,,
59,06/11/2023 16:25:30,7.794,,,,,
60,06/11/2023 16:26:00,7.011,,,,,
61,06/11/2023 16:26:30,6.379,,,,,
62,06/11/2023 16:27:00,5.821,,,,,
63,06/11/2023 16:27:30,5.371,,,,,
64,06/11/2023 16:28:00,5.006,,,,,
65,06/11/2023 16:28:30,4.695,,,,,
66,06/11/2023 16:29:00,4.448,,,,,
67,06/11/2023 16:29:30,4.255,,,,,
68,06/11/2023 16:30:00,4.105,,,,,
69,06/11/2023 16:30:30,3.976,,,,,
70,06/11/2023 16:31:00,3.880,,,,,
71,06/11/2023 16:31:30,3.815,,,,,
72,06/11/2023 16:32:00,3.751,,,,,
73,06/11/2023 16:32:30,3.719,,,,,
74,06/11/2023 16:33:00,3.708,,,,,
75,06/11/2023 16:33:30,3.708,,,,,
76,06/11/2023 16:34:00,3.708,,,,,
77,06/11/2023 16:34:30,3.730,,,,,
78,06/11/2023 16:35:00,3.751,,,,,
79,06/11/2023 16:35:30,3.794,,,,,
80,06/11/2023 16:36:00,3.826,,,,,
81,06/11/2023 16:36:30,3.858,,,,,
82,06/11/2023 16:37:00,3.912,,,,,
83,06/11/2023 16:37:30,3.966,,,,,
84,06/11/2023 16:38:00,4.008,,,,,
85,06/11/2023 16:38:30,4.062,,,,,
86,06/11/2023 16:39:00,4.137,,,,,
87,06/11/2023 16:39:30,4.191,,,,,
88,06/11/2023 16:40:00,4.266,,,,,
89,06/11/2023 16:40:30,4.352,,,,,
90,06/11/2023 16:41:00,4.395,,,,,
91,06/11/2023 16:41:30,4.448,,,,,
92,06/11/2023 16:42:00,4.523,,,,,
93,06/11/2023 16:42:30,4.588,,,,,
94,06/11/2023 16:43:00,4.663,,,,,
95,06/11/2023 16:43:30,4.748,,,,,
96,06/11/2023 16:44:00,4.834,,,,,
97,06/11/2023 16:44:30,4.931,,,,,
