#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Stopped,End of File
1,04/26/2023 15:45:00,23.668,,
2,04/26/2023 15:45:30,24.740,,
3,04/26/2023 15:46:00,25.791,,
4,04/26/2023 15:46:30,26.713,,
5,04/26/2023 15:47:00,27.507,,
6,04/26/2023 15:47:30,28.226,,
7,04/26/2023 15:48:00,28.816,,
8,04/26/2023 15:48:30,29.309,,
9,04/26/2023 15:49:00,29.716,,
10,04/26/2023 15:49:30,30.060,,
11,04/26/2023 15:50:00,30.339,,
12,04/26/2023 15:50:30,30.585,,
13,04/26/2023 15:51:00,30.789,,
14,04/26/2023 15:51:30,30.971,,
15,04/26/2023 15:52:00,31.121,,
16,04/26/2023 15:52:30,31.239,,
17,04/26/2023 15:53:00,31.357,,
18,04/26/2023 15:53:30,31.454,,
19,04/26/2023 15:54:00,31.540,,
20,04/26/2023 15:54:30,31.615,,
21,04/26/2023 15:55:00,31.679,,
22,04/26/2023 15:55:30,31.733,,
23,04/26/2023 15:56:00,31.776,,
24,04/26/2023 15:56:30,31.819,,
25,04/26/2023 15:57:00,31.851,,
26,04/26/2023 15:57:30,31.872,,
27,04/26/2023 15:58:00,31.904,,
28,04/26/2023 15:58:30,31.937,,
29,04/26/2023 15:59:00,31.947,,
30,04/26/2023 15:59:30,31.969,,
31,04/26/2023 16:00:00,31.990,,
32,04/26/2023 16:00:30,31.990,,
33,04/26/2023 16:01:00,32.022,,
34,04/26/2023 16:01:30,32.022,,
35,04/26/2023 16:02:00,32.022,,
36,04/26/2023 16:02:30,32.044,,
37,04/26/2023 16:03:00,32.044,,
38,04/26/2023 16:03:30,32.055,,
39,04/26/2023 16:04:00,32.055,,
40,04/26/2023 16:04:30,32.065,,
41,04/26/2023 16:05:00,32.076,,
42,04/26/2023 16:05:30,32.076,,
43,04/26/2023 16:06:00,32.076,,
44,04/26/2023 16:06:30,32.087,,
45,04/26/2023 16:07:00,32.076,,
46,04/26/2023 16:07:30,32.087,,
47,04/26/2023 16:08:00,32.097,,
48,04/26/2023 16:08:30,32.097,,
49,04/26/2023 16:09:00,32.097,,
50,04/26/2023 16:09:30,32.108,,
51,04/26/2023 16:10:00,32.108,,
52,04/26/2023 16:10:30,32.108,,
53,04/26/2023 16:11:00,32.108,,
54,04/26/2023 16:11:30,32.108,,
55,04/26/2023 16:12:00,32.108,,
56,04/26/2023 16:12:30,32.119,,
57,04/26/2023 16:13:00,32.119,,
58,04/26/2023 16:13:30,32.119,,
59,04/26/2023 16:14:00,32.119,,
60,04/26/2023 16:14:30,32.119,,
61,04/26/2023 16:15:00,32.130,,
62,04/26/2023 16:15:30,32.130,,
63,04/26/2023 16:16:00,32.130,,
64,04/26/2023 16:16:30,32.108,,
65,04/26/2023 16:17:00,29.974,,
66,04/26/2023 16:17:30,26.242,,
67,04/26/2023 16:18:00,22.316,,
68,04/26/2023 16:18:30,18.713,,
69,04/26/2023 16:19:00,15.549,,
70,04/26/2023 16:19:30,12.975,,
71,04/26/2023 16:20:00,10.883,,
72,04/26/2023 16:20:30,9.156,,
73,04/26/2023 16:21:00,7.719,,
74,04/26/2023 16:21:30,6.518,,
75,04/26/2023 16:22:00,5.542,,
76,04/26/2023 16:22:30,4.716,,
77,04/26/2023 16:23:00,4.030,,
78,04/26/2023 16:23:30,3.461,,
79,04/26/2023 16:24:00,2.990,,
80,04/26/2023 16:24:30,2.571,,
81,04/26/2023 16:25:00,2.228,,
82,04/26/2023 16:25:30,1.938,,
83,04/26/2023 16:26:00,1.703,,
84,04/26/2023 16:26:30,1.488,,
85,04/26/2023 16:27:00,1.295,,
86,04/26/2023 16:27:30,1.156,,
