#,Date-Time (CEST),Ch: 1 - Temperature   (°C),Water Detect,Button Down,Button Up,Stopped,End of File
1,06/11/2023 15:47:39,,In,,,,
2,06/11/2023 15:48:24,,Out,,,,
3,06/11/2023 15:53:54,,In,,,,
4,06/11/2023 16:01:00,19.710,,,,,
5,06/11/2023 16:01:30,19.581,,,,,
6,06/11/2023 16:02:00,19.474,,,,,
7,06/11/2023 16:02:30,19.388,,,,,
8,06/11/2023 16:03:00,19.335,,,,,
9,06/11/2023 16:03:30,19.281,,,,,
10,06/11/2023 16:04:00,19.249,,,,,
11,06/11/2023 16:04:30,19.206,,,,,
12,06/11/2023 16:05:00,19.163,,,,,
13,06/11/2023 16:05:30,19.131,,,,,
14,06/11/2023 16:06:00,19.109,,,,,
15,06/11/2023 16:06:30,19.099,,,,,
16,06/11/2023 16:07:00,19.077,,,,,
17,06/11/2023 16:07:30,19.077,,,,,
18,06/11/2023 16:08:00,19.066,,,,,
19,06/11/2023 16:08:30,19.066,,,,,
20,06/11/2023 16:09:00,19.056,,,,,
21,06/11/2023 16:09:30,19.045,,,,,
22,06/11/2023 16:10:00,19.056,,,,,
23,06/11/2023 16:10:30,19.056,,,,,
24,06/11/2023 16:11:00,19.056,,,,,
25,06/11/2023 16:11:30,19.056,,,,,
26,06/11/2023 16:12:00,19.056,,,,,
27,06/11/2023 16:12:30,19.056,,,,,
28,06/11/2023 16:13:00,19.066,,,,,
29,06/11/2023 16:13:30,19.066,,,,,
30,06/11/2023 16:14:00,19.066,,,,,
31,06/11/2023 16:14:30,19.066,,,,,
32,06/11/2023 16:15:00,19.066,,,,,
33,06/11/2023 16:15:30,19.066,,,,,
34,06/11/2023 16:16:00,19.066,,,,,
35,06/11/2023 16:16:30,19.066,,,,,
36,06/11/2023 16:17:00,19.066,,,,,
37,06/11/2023 16:17:30,19.066,,,,,
38,06/11/2023 16:18:00,19.077,,,,,
39,06/11/2023 16:18:30,19.066,,,,,
40,06/11/2023 16:19:00,19.066,,,,,
